,P о.пар за кпп п1 т.2,F о.пар за КПП п2,F о.пар за КПП п1,Нормализованный расход,масс.конц-ция CO Влажная,масс.конц-ция NO Влажная,масс.конц-ция O2 Влажная,масс.конц-ция SO2 Влажная,масс. конц-ция пыли  [мг/м3],масс. конц-ция пыли  [мг/м3].1,Текущий массовый расход CO,Текущий массовый расход NO,Текущий массовый расход O2,Текущий массовый расход SO2,Текущий массовый расход пыли,масс. конц-ция пыли  NОx Влажная,F возд до ДВ Б 1,F возд до ДВ А 1
P о.пар за кпп п1 т.2,1.0,0.49439814947375044,0.4940909083984262,-0.0006458206060951366,-0.19081231268179244,-0.042628004129737496,-0.26703407013799946,-0.34322415466007145,0.23388937624542033,0.23388937624542033,-0.03987210406123019,0.18841116832255997,-0.001128166873113735,-0.07348036194825137,0.20142577489171629,-0.042733792723257155,-0.0004273742040174308,0.3331151442287437
F о.пар за КПП п2,0.49439814947375044,1.0,0.9961395871192773,0.05819370593650778,-0.14858663253507867,-0.11371989864950298,-0.4742219817337349,-0.4917974738801513,0.39366224958703616,0.39366224958703616,0.002473148186408178,0.1982773054294613,-0.10116214158211055,-0.12714264040524498,0.35570941263918626,-0.11375421075031343,0.17159684499147965,0.6735653884845375
F о.пар за КПП п1,0.4940909083984262,0.9961395871192773,1.0,0.057880228102503053,-0.13993278965170103,-0.1099479296346943,-0.4734278269766025,-0.4892639300914755,0.3926130962690023,0.3926130962690023,0.006628904389106376,0.19839043409669965,-0.10200426932612279,-0.1271953303320255,0.3549436086628353,-0.10997114412636234,0.17583137307835675,0.6660345178532396
Нормализованный расход,-0.0006458206060951366,0.05819370593650778,0.057880228102503053,1.0,0.2424937220520146,0.06883649695510813,0.352162474324518,0.23301950143420452,0.15698770126526473,0.15698770126526473,0.536766691087232,0.4221523777659068,0.8433372753562364,0.7730817922667942,0.35294274595578956,0.06870962578204813,0.33711986872101574,0.14965553250941682
масс.конц-ция CO Влажная,-0.19081231268179244,-0.14858663253507867,-0.13993278965170103,0.2424937220520146,1.0,0.12501249764211236,0.33706165827901297,0.7628544276156156,0.03189972158855101,0.03189972158855101,0.6890255812362318,0.09032087380345435,0.26311251969911714,0.5742499434867769,0.10664400522210238,0.12526137966210002,0.0871387694600966,-0.44722272120089246
масс.конц-ция NO Влажная,-0.042628004129737496,-0.11371989864950298,-0.1099479296346943,0.06883649695510813,0.12501249764211236,1.0,0.5541398772074033,0.3862954527198603,-0.15643386480622323,-0.15643386480622323,-0.06887737433140119,0.6232320387325063,0.2890894962967674,0.21336162981559142,-0.09669058663265116,0.999409740167811,-0.34248324223072873,-0.017235026015012672
масс.конц-ция O2 Влажная,-0.26703407013799946,-0.4742219817337349,-0.4734278269766025,0.352162474324518,0.33706165827901297,0.5541398772074033,1.0,0.6800283796750366,-0.17931831791181516,-0.17931831791181516,0.15729275391978378,0.250039992830647,0.6602128310741519,0.4522713094615971,-0.05390860518916479,0.5543442713720756,-0.21482857695225088,-0.37836677978316513
масс.конц-ция SO2 Влажная,-0.34322415466007145,-0.4917974738801513,-0.4892639300914755,0.23301950143420452,0.7628544276156156,0.3862954527198603,0.6800283796750366,1.0,-0.11661259426253633,-0.11661259426253633,0.5062350712997933,0.17003953297284563,0.4089757663253614,0.6686753152616114,-0.02929091693442645,0.3866170948424807,-0.0628482408814803,-0.5921825729150386
масс. конц-ция пыли  [мг/м3],0.23388937624542033,0.39366224958703616,0.3926130962690023,0.15698770126526473,0.03189972158855101,-0.15643386480622323,-0.17931831791181516,-0.11661259426253633,1.0,1.0,0.21646216369209234,0.1277176168459965,0.12018072380344486,0.1395697589461576,0.968961954111916,-0.15631840639224812,0.23991169366012238,0.2694801724326964
масс. конц-ция пыли  [мг/м3].1,0.23388937624542033,0.39366224958703616,0.3926130962690023,0.15698770126526473,0.03189972158855101,-0.15643386480622323,-0.17931831791181516,-0.11661259426253633,1.0,1.0,0.21646216369209234,0.1277176168459965,0.12018072380344486,0.1395697589461576,0.968961954111916,-0.15631840639224812,0.23991169366012238,0.2694801724326964
Текущий массовый расход CO,-0.03987210406123019,0.002473148186408178,0.006628904389106376,0.536766691087232,0.6890255812362318,-0.06887737433140119,0.15729275391978378,0.5062350712997933,0.21646216369209234,0.21646216369209234,1.0,0.28849258559450497,0.5120964922456068,0.7515094236573815,0.31786941508535493,-0.06868586052097958,0.30675461719159136,-0.19268427951817263
Текущий массовый расход NO,0.18841116832255997,0.1982773054294613,0.19839043409669965,0.4221523777659068,0.09032087380345435,0.6232320387325063,0.250039992830647,0.17003953297284563,0.1277176168459965,0.1277176168459965,0.28849258559450497,1.0,0.5583624260126259,0.5144279205088279,0.2126236970320034,0.6230561819476738,-0.015772027812457786,0.28319853942232126
Текущий массовый расход O2,-0.001128166873113735,-0.10116214158211055,-0.10200426932612279,0.8433372753562364,0.26311251969911714,0.2890894962967674,0.6602128310741519,0.4089757663253614,0.12018072380344486,0.12018072380344486,0.5120964922456068,0.5583624260126259,1.0,0.8144671051025285,0.2931855244086251,0.2891513928559501,0.16167572930512963,0.00010052215478843375
Текущий массовый расход SO2,-0.07348036194825137,-0.12714264040524498,-0.1271953303320255,0.7730817922667942,0.5742499434867769,0.21336162981559142,0.4522713094615971,0.6686753152616114,0.1395697589461576,0.1395697589461576,0.7515094236573815,0.5144279205088279,0.8144671051025285,1.0,0.29302675496008057,0.21345856047865536,0.24254708798159444,-0.15159768087764958
Текущий массовый расход пыли,0.20142577489171629,0.35570941263918626,0.3549436086628353,0.35294274595578956,0.10664400522210238,-0.09669058663265116,-0.05390860518916479,-0.02929091693442645,0.968961954111916,0.968961954111916,0.31786941508535493,0.2126236970320034,0.2931855244086251,0.29302675496008057,1.0,-0.09661995929944892,0.266642087404391,0.2557397082427192
масс. конц-ция пыли  NОx Влажная,-0.042733792723257155,-0.11375421075031343,-0.10997114412636234,0.06870962578204813,0.12526137966210002,0.999409740167811,0.5543442713720756,0.3866170948424807,-0.15631840639224812,-0.15631840639224812,-0.06868586052097958,0.6230561819476738,0.2891513928559501,0.21345856047865536,-0.09661995929944892,1.0,-0.34222661530599724,-0.01712882672168005
F возд до ДВ Б 1,-0.0004273742040174308,0.17159684499147965,0.17583137307835675,0.33711986872101574,0.0871387694600966,-0.34248324223072873,-0.21482857695225088,-0.0628482408814803,0.23991169366012238,0.23991169366012238,0.30675461719159136,-0.015772027812457786,0.16167572930512963,0.24254708798159444,0.266642087404391,-0.34222661530599724,1.0,0.28142569746633994
F возд до ДВ А 1,0.3331151442287437,0.6735653884845375,0.6660345178532396,0.14965553250941682,-0.44722272120089246,-0.017235026015012672,-0.37836677978316513,-0.5921825729150386,0.2694801724326964,0.2694801724326964,-0.19268427951817263,0.28319853942232126,0.00010052215478843375,-0.15159768087764958,0.2557397082427192,-0.01712882672168005,0.28142569746633994,1.0
